Event Date,Start Time,End Time,Event Name,Event Description,Event Location,Admission
01/03/2023,5:00 P.M.,6:00 P.M.,Fitness at the Plaza,"Free and open to everyone regardless of age, fitness level, or experience. All participants are required to sign a waiver in order to participate. Participants must bring their own exercise mats and towels.",Cornerstone at the Plaza,FREE
01/04/2023,10:00 A.M.,2:00 P.M.,Farmers Market,"Empire State Plaza Farmers Market, Indoors on the South Concourse, October 12 through April, Wednesdays, 10:00 a.m. - 2:00 p.m.","Empire State Plaza, Indoors",FREE
01/05/2023,5:00 P.M.,6:00 P.M.,Fitness at the Plaza,"Free and open to everyone regardless of age, fitness level, or experience. All participants are required to sign a waiver in order to participate. Participants must bring their own exercise mats and towels.",Cornerstone at the Plaza,FREE
01/07/2023,9:00 A.M.,12:00 P.M.,Learn to Skate Clinic,Sin datos,Empire State Plaza Ice Rink,FREE
01/10/2023,5:00 P.M.,6:00 P.M.,Fitness at the Plaza,"Free and open to everyone regardless of age, fitness level, or experience. All participants are required to sign a waiver in order to participate. Participants must bring their own exercise mats and towels.",Cornerstone at the Plaza,FREE
01/11/2023,10:00 A.M.,2:00 P.M.,Farmers Market,"Empire State Plaza Farmers Market, Indoors on the South Concourse, October 12 through April, Wednesdays, 10:00 a.m. - 2:00 p.m.","Empire State Plaza, Indoors",FREE
01/11/2023,10:00 A.M.,2:00 P.M.,Dr. King Volunteer Fair,The fair is a great opportunity to get actively involved in civic and community organizations.,Empire State Plaza South Concourse,FREE
01/12/2023,5:00 P.M.,6:00 P.M.,Fitness at the Plaza,"Free and open to everyone regardless of age, fitness level, or experience. All participants are required to sign a waiver in order to participate. Participants must bring their own exercise mats and towels.",Cornerstone at the Plaza,FREE
01/13/2023,6:00 P.M.,9:00 P.M.,"""Paths to Change"" Red Carpet Premiere","Join us this Friday at the Empire State Plaza Convention Center for the first-ever early screening of the 2023 NYS Dr. Martin Luther King, Jr. Memorial Observance special, New York's one-hour tribute to Dr. King, before the scheduled broadcast on #MLKDAY on select @PBS stations across New York!",Empire State Plaza Convention Center,FREE
01/17/2023,5:00 P.M.,6:00 P.M.,Fitness at the Plaza,"Free and open to everyone regardless of age, fitness level, or experience. All participants are required to sign a waiver in order to participate. Participants must bring their own exercise mats and towels.",Cornerstone at the Plaza,FREE
01/18/2023,10:00 A.M.,2:00 P.M.,Farmers Market,"Empire State Plaza Farmers Market, Indoors on the South Concourse, October 12 through April, Wednesdays, 10:00 a.m. - 2:00 p.m.","Empire State Plaza, Indoors",FREE
01/19/2023,5:00 P.M.,6:00 P.M.,Fitness at the Plaza,"Free and open to everyone regardless of age, fitness level, or experience. All participants are required to sign a waiver in order to participate. Participants must bring their own exercise mats and towels.",Cornerstone at the Plaza,FREE
01/24/2023,5:00 P.M.,6:00 P.M.,Fitness at the Plaza,"Free and open to everyone regardless of age, fitness level, or experience. All participants are required to sign a waiver in order to participate. Participants must bring their own exercise mats and towels.",Cornerstone at the Plaza,FREE
01/25/2023,10:00 A.M.,2:00 P.M.,Farmers Market,"Empire State Plaza Farmers Market, Indoors on the South Concourse, October 12 through April, Wednesdays, 10:00 a.m. - 2:00 p.m.","Empire State Plaza, Indoors",FREE
01/26/2023,5:00 P.M.,6:00 P.M.,Fitness at the Plaza,"Free and open to everyone regardless of age, fitness level, or experience. All participants are required to sign a waiver in order to participate. Participants must bring their own exercise mats and towels.",Cornerstone at the Plaza,FREE
01/31/2023,5:00 P.M.,6:00 P.M.,Fitness at the Plaza,"Free and open to everyone regardless of age, fitness level, or experience. All participants are required to sign a waiver in order to participate. Participants must bring their own exercise mats and towels.",Cornerstone at the Plaza,FREE
02/01/2023,10:00 A.M.,2:00 P.M.,Farmers Market,"Empire State Plaza Farmers Market, Indoors on the South Concourse, October 12 through April, Wednesdays, 10:00 a.m. - 2:00 p.m.","Empire State Plaza, Indoors",FREE
02/01/2023,10:00 A.M.,2:00 P.M.,Lunar New Year Celebration,"Welcome to the Year of the Rabbit! This year's Lunar New Year Celebration features fresh and frozen foods, a lion dance, Techno Prince dance, giveaways, activities, and more with the Chinese Community Center, the Korean Association of Albany, and the Taiwanese American Association.",Empire State Plaza Concourse,FREE
02/02/2023,5:00 P.M.,6:00 P.M.,Fitness at the Plaza,"Free and open to everyone regardless of age, fitness level, or experience. All participants are required to sign a waiver in order to participate. Participants must bring their own exercise mats and towels.",Cornerstone at the Plaza,FREE
02/07/2023,5:00 P.M.,6:00 P.M.,Fitness at the Plaza,"Free and open to everyone regardless of age, fitness level, or experience. All participants are required to sign a waiver in order to participate. Participants must bring their own exercise mats and towels.",Cornerstone at the Plaza,FREE
02/08/2023,10:00 A.M.,2:00 P.M.,Farmers Market,"Empire State Plaza Farmers Market, Indoors on the South Concourse, October 12 through April, Wednesdays, 10:00 a.m. - 2:00 p.m.","Empire State Plaza, Indoors",FREE
02/09/2023,5:00 P.M.,6:00 P.M.,Fitness at the Plaza,"Free and open to everyone regardless of age, fitness level, or experience. All participants are required to sign a waiver in order to participate. Participants must bring their own exercise mats and towels.",Cornerstone at the Plaza,FREE
02/11/2023,9:00 A.M.,12:00 P.M.,Learn to Skate Clinic,Sin datos,Empire State Plaza Ice Rink,FREE
02/14/2023,5:00 P.M.,6:00 P.M.,Fitness at the Plaza,"Free and open to everyone regardless of age, fitness level, or experience. All participants are required to sign a waiver in order to participate. Participants must bring their own exercise mats and towels.",Cornerstone at the Plaza,FREE
02/14/2023,10:00 A.M.,2:00 P.M.,Cupid's Pop Up Shop,"Shop for Valentine's Day at the Empire State Plaza with flowers, jewelry, gifts, and more!","Empire State Plaza, South Concourse",FREE
02/15/2023,10:00 A.M.,2:00 P.M.,Farmers Market,"Empire State Plaza Farmers Market, Indoors on the South Concourse, October 12 through April, Wednesdays, 10:00 a.m. - 2:00 p.m.","Empire State Plaza, Indoors",FREE
02/15/2023,10:00 A.M.,2:00 P.M.,Black History Month Celebration,"Join us in Celebrating Black History Month with a craft show on the concourse! Vendors, a performance by DJ Intell Hayesfield, and delicious soul food will be available for purchase from Allie B's Cozy Kitchen.",Empire State Plaza South Concourse,FREE
02/16/2023,5:00 P.M.,6:00 P.M.,Fitness at the Plaza,"Free and open to everyone regardless of age, fitness level, or experience. All participants are required to sign a waiver in order to participate. Participants must bring their own exercise mats and towels.",Cornerstone at the Plaza,FREE
02/21/2023,5:00 P.M.,6:00 P.M.,Fitness at the Plaza,"Free and open to everyone regardless of age, fitness level, or experience. All participants are required to sign a waiver in order to participate. Participants must bring their own exercise mats and towels.",Cornerstone at the Plaza,FREE
02/22/2023,10:00 A.M.,2:00 P.M.,Farmers Market,"Empire State Plaza Farmers Market, Indoors on the South Concourse, October 12 through April, Wednesdays, 10:00 a.m. - 2:00 p.m.","Empire State Plaza, Indoors",FREE
02/22/2023,4:00 P.M.,6:00 P.M.,Meet & Skate with the Adirondack Thunder,Players from the Adirondack Thunder are hitting the ice at the Empire State Plaza Ice Rink.,Empire State Plaza Ice Rink,FREE
02/23/2023,5:00 P.M.,6:00 P.M.,Fitness at the Plaza,"Free and open to everyone regardless of age, fitness level, or experience. All participants are required to sign a waiver in order to participate. Participants must bring their own exercise mats and towels.",Cornerstone at the Plaza,FREE
02/28/2023,5:00 P.M.,6:00 P.M.,Fitness at the Plaza,"Free and open to everyone regardless of age, fitness level, or experience. All participants are required to sign a waiver in order to participate. Participants must bring their own exercise mats and towels.",Cornerstone at the Plaza,FREE
03/01/2023,10:00 A.M.,2:00 P.M.,Farmers Market,"Empire State Plaza Farmers Market, Indoors on the South Concourse, October 12 through April, Wednesdays, 10:00 a.m. - 2:00 p.m.","Empire State Plaza, Indoors",FREE
03/01/2023,10:30 A.M.,11:30 A.M.,Music in Our Schools Month,Featuring performance by New York State music students.,"Empire State Plaza, South Concourse",FREE
03/02/2023,5:00 P.M.,6:00 P.M.,Fitness at the Plaza,"Free and open to everyone regardless of age, fitness level, or experience. All participants are required to sign a waiver in order to participate. Participants must bring their own exercise mats and towels.",Cornerstone at the Plaza,FREE
03/02/2023,10:30 A.M.,12:00 P.M.,Music in Our Schools Month,Featuring performance by New York State music students.,"Empire State Plaza, South Concourse",FREE
03/03/2023,10:30 A.M.,12:00 P.M.,Music in Our Schools Month,Featuring performance by New York State music students.,"Empire State Plaza, South Concourse",FREE
03/04/2023,9:00 A.M.,12:00 P.M.,Learn to Skate Clinic,Sin datos,Empire State Plaza Ice Rink,FREE
03/07/2023,5:00 P.M.,6:00 P.M.,Fitness at the Plaza,"Free and open to everyone regardless of age, fitness level, or experience. All participants are required to sign a waiver in order to participate. Participants must bring their own exercise mats and towels.",Cornerstone at the Plaza,FREE
03/07/2023,10:30 A.M.,12:00 P.M.,Music in Our Schools Month,Featuring performance by New York State music students.,"Empire State Plaza, South Concourse",FREE
03/08/2023,10:00 A.M.,2:00 P.M.,Farmers Market,"Empire State Plaza Farmers Market, Indoors on the South Concourse, October 12 through April, Wednesdays, 10:00 a.m. - 2:00 p.m.","Empire State Plaza, Indoors",FREE
03/08/2023,10:30 A.M.,1:00 P.M.,Music in Our Schools Month,Featuring performance by New York State music students.,"Empire State Plaza, South Concourse",FREE
03/09/2023,5:00 P.M.,6:00 P.M.,Fitness at the Plaza,"Free and open to everyone regardless of age, fitness level, or experience. All participants are required to sign a waiver in order to participate. Participants must bring their own exercise mats and towels.",Cornerstone at the Plaza,FREE
03/09/2023,10:30 A.M.,1:00 P.M.,Music in Our Schools Month,Featuring performance by New York State music students.,"Empire State Plaza, South Concourse",FREE
03/10/2023,10:30 A.M.,3:00 P.M.,Music in Our Schools Month,Featuring performance by New York State music students.,"Empire State Plaza, South Concourse",FREE
03/13/2023,10:30 A.M.,11:30 A.M.,Music in Our Schools Month,Featuring performance by New York State music students.,"Empire State Plaza, South Concourse",FREE
03/14/2023,5:00 P.M.,6:00 P.M.,Fitness at the Plaza,"Free and open to everyone regardless of age, fitness level, or experience. All participants are required to sign a waiver in order to participate. Participants must bring their own exercise mats and towels.",Cornerstone at the Plaza,FREE
03/15/2023,10:00 A.M.,2:00 P.M.,Farmers Market,"Empire State Plaza Farmers Market, Indoors on the South Concourse, October 12 through April, Wednesdays, 10:00 a.m. - 2:00 p.m.","Empire State Plaza, Indoors",FREE
03/15/2023,10:00 A.M.,2:00 P.M.,St. Patrick's Day Celebration,"Celebrate St. Patrick's Day at the Empire State Plaza with music from Maggie's Clan, traditional Irish fare lunch from PRIME at the Plaza ($), Irish Dance performances from Bethlehem Traditional Irish Dance, craft vendors, and more!",Empire State Plaza South Concourse,FREE
03/16/2023,5:00 P.M.,6:00 P.M.,Fitness at the Plaza,"Free and open to everyone regardless of age, fitness level, or experience. All participants are required to sign a waiver in order to participate. Participants must bring their own exercise mats and towels.",Cornerstone at the Plaza,FREE
03/16/2023,10:30 A.M.,1:00 P.M.,Music in Our Schools Month,Featuring performance by New York State music students.,"Empire State Plaza, South Concourse",FREE
03/17/2023,10:30 A.M.,1:00 P.M.,Music in Our Schools Month,Featuring performance by New York State music students.,"Empire State Plaza, South Concourse",FREE
03/20/2023,10:30 A.M.,2:00 P.M.,Music in Our Schools Month,Featuring performance by New York State music students.,"Empire State Plaza, South Concourse",FREE
03/21/2023,5:00 P.M.,6:00 P.M.,Fitness at the Plaza,"Free and open to everyone regardless of age, fitness level, or experience. All participants are required to sign a waiver in order to participate. Participants must bring their own exercise mats and towels.",Cornerstone at the Plaza,FREE
03/21/2023,10:30 A.M.,11:30 A.M.,Music in Our Schools Month,Featuring performance by New York State music students.,"Empire State Plaza, South Concourse",FREE
03/22/2023,10:00 A.M.,2:00 P.M.,Farmers Market,"Empire State Plaza Farmers Market, Indoors on the South Concourse, October 12 through April, Wednesdays, 10:00 a.m. - 2:00 p.m.","Empire State Plaza, Indoors",FREE
03/22/2023,10:30 A.M.,1:00 P.M.,Music in Our Schools Month,Featuring performance by New York State music students.,"Empire State Plaza, South Concourse",FREE
03/23/2023,5:00 P.M.,6:00 P.M.,Fitness at the Plaza,"Free and open to everyone regardless of age, fitness level, or experience. All participants are required to sign a waiver in order to participate. Participants must bring their own exercise mats and towels.",Cornerstone at the Plaza,FREE
03/23/2023,10:30 A.M.,1:00 P.M.,Music in Our Schools Month,Featuring performance by New York State music students.,"Empire State Plaza, South Concourse",FREE
03/24/2023,10:30 A.M.,2:00 P.M.,Music in Our Schools Month,Featuring performance by New York State music students.,"Empire State Plaza, South Concourse",FREE
03/27/2023,10:30 A.M.,11:30 A.M.,Music in Our Schools Month,Featuring performance by New York State music students.,"Empire State Plaza, South Concourse",FREE
03/28/2023,5:00 P.M.,6:00 P.M.,Fitness at the Plaza,"Free and open to everyone regardless of age, fitness level, or experience. All participants are required to sign a waiver in order to participate. Participants must bring their own exercise mats and towels.",Cornerstone at the Plaza,FREE
03/28/2023,10:30 A.M.,3:00 P.M.,Music in Our Schools Month,Featuring performance by New York State music students.,"Empire State Plaza, South Concourse",FREE
03/29/2023,10:00 A.M.,2:00 P.M.,Farmers Market,"Empire State Plaza Farmers Market, Indoors on the South Concourse, October 12 through April, Wednesdays, 10:00 a.m. - 2:00 p.m.","Empire State Plaza, Indoors",FREE
03/29/2023,10:30 A.M.,1:00 P.M.,Music in Our Schools Month,Featuring performance by New York State music students.,"Empire State Plaza, South Concourse",FREE
03/30/2023,5:00 P.M.,6:00 P.M.,Fitness at the Plaza,"Free and open to everyone regardless of age, fitness level, or experience. All participants are required to sign a waiver in order to participate. Participants must bring their own exercise mats and towels.",Cornerstone at the Plaza,FREE
03/30/2023,10:30 A.M.,1:00 P.M.,Music in Our Schools Month,Featuring performance by New York State music students.,"Empire State Plaza, South Concourse",FREE
03/31/2023,10:30 A.M.,1:00 P.M.,Music in Our Schools Month,Featuring performance by New York State music students.,"Empire State Plaza, South Concourse",FREE
10/01/2021,6:00 P.M.,6:45 P.M.,Capitol Hauntings Tour,"Explore the legends, folklore, and ""ghost stories"" connected to the historic New York State Capitol",Capitol State Street Lobby Information Desk,FREE
10/01/2021,5:00 P.M.,5:45 P.M.,Capitol Hauntings Tour,"Explore the legends, folklore, and ""ghost stories"" connected to the historic New York State Capitol",Capitol State Street Lobby Information Desk,FREE
10/01/2021,12:00 P.M.,12:45 P.M.,Tour the New York State Capitol,Monday through Friday at 10:00 a.m. and noon.,Information Desk in Capitol's State Street Lobby,FREE
10/01/2021,10:00 A.M.,10:45 A.M.,Tour the New York State Capitol,Monday through Friday at 10:00 a.m. and noon.,Information Desk in Capitol's State Street Lobby,FREE
09/30/2021,6:00 P.M.,6:45 P.M.,Capitol Hauntings Tour,"Explore the legends, folklore, and ""ghost stories"" connected to the historic New York State Capitol",Capitol State Street Lobby Information Desk,FREE
09/30/2021,5:00 P.M.,5:45 P.M.,Capitol Hauntings Tour,"Explore the legends, folklore, and ""ghost stories"" connected to the historic New York State Capitol",Capitol State Street Lobby Information Desk,FREE
09/30/2021,12:00 P.M.,12:45 P.M.,Tour the New York State Capitol,Monday through Friday at 10:00 a.m. and noon.,Information Desk in Capitol's State Street Lobby,FREE
09/30/2021,11:00 A.M.,2:00 P.M.,Empire State Plaza Food Trucks and Vendors,Enjoy your lunch outdoors on the beautiful Empire State Plaza!,Plaza Level,FREE
09/30/2021,10:00 A.M.,10:45 A.M.,Tour the New York State Capitol,Monday through Friday at 10:00 a.m. and noon.,Information Desk in Capitol's State Street Lobby,FREE
09/29/2021,2:00 P.M.,3:00 P.M.,Empire State Plaza Tour,Wednesday - Friday at 2 p.m. - Learn how government and culture are housed within the Plaza's Modern Architecture,Outside the Egg,FREE
09/29/2021,12:00 P.M.,12:45 P.M.,Tour the New York State Capitol,Monday through Friday at 10:00 a.m. and noon.,Information Desk in Capitol's State Street Lobby,FREE
09/29/2021,11:00 A.M.,2:00 P.M.,Empire State Plaza Food Trucks and Vendors,Enjoy your lunch outdoors on the beautiful Empire State Plaza!,Plaza Level,FREE
09/29/2021,10:00 A.M.,2:00 P.M.,Oktoberfest,"Co-sponsored by T-Mobile! Join us for Oktoberfest at the Empire State Plaza with traditional German food from Mazzone Hospitality ($), authentic music by the Accord-A-Tones, vendors, and more!",Empire State Plaza South Concourse,FREE
09/29/2021,10:00 A.M.,2:00 P.M.,Empire State Plaza Farmers Market,Wednesdays from 10 a.m. - 2 p.m.,Empire State Plaza North End,FREE
09/29/2021,10:00 A.M.,10:45 A.M.,Tour the New York State Capitol,Monday through Friday at 10:00 a.m. and noon.,Information Desk in Capitol's State Street Lobby,FREE
09/28/2021,12:00 P.M.,12:45 P.M.,Tour the New York State Capitol,Monday through Friday at 10:00 a.m. and noon.,Information Desk in Capitol's State Street Lobby,FREE
09/28/2021,11:00 A.M.,2:00 P.M.,Empire State Plaza Food Trucks and Vendors,Enjoy your lunch outdoors on the beautiful Empire State Plaza!,Plaza Level,FREE
09/28/2021,10:00 A.M.,10:45 A.M.,Tour the New York State Capitol,Monday through Friday at 10:00 a.m. and noon.,Information Desk in Capitol's State Street Lobby,FREE
09/27/2021,12:00 P.M.,12:45 P.M.,Tour the New York State Capitol,Monday through Friday at 10:00 a.m. and noon.,Information Desk in Capitol's State Street Lobby,FREE
09/27/2021,10:00 A.M.,10:45 A.M.,Tour the New York State Capitol,Monday through Friday at 10:00 a.m. and noon.,Information Desk in Capitol's State Street Lobby,FREE
09/24/2021,2:00 P.M.,3:00 P.M.,Empire State Plaza Tour,Wednesday - Friday at 2 p.m. - Learn how government and culture are housed within the Plaza's Modern Architecture,Outside the Egg,FREE
09/24/2021,12:00 P.M.,12:45 P.M.,Tour the New York State Capitol,Monday through Friday at 10:00 a.m. and noon.,Information Desk in Capitol's State Street Lobby,FREE
09/24/2021,10:00 A.M.,10:45 A.M.,Tour the New York State Capitol,Monday through Friday at 10:00 a.m. and noon.,Information Desk in Capitol's State Street Lobby,FREE
09/23/2021,12:00 P.M.,12:45 P.M.,Tour the New York State Capitol,Monday through Friday at 10:00 a.m. and noon.,Information Desk in Capitol's State Street Lobby,FREE
09/23/2021,11:00 A.M.,2:00 P.M.,Empire State Plaza Food Trucks and Vendors,Enjoy your lunch outdoors on the beautiful Empire State Plaza!,Plaza Level,FREE
09/23/2021,10:00 A.M.,10:45 A.M.,Tour the New York State Capitol,Monday through Friday at 10:00 a.m. and noon.,Information Desk in Capitol's State Street Lobby,FREE
09/22/2021,2:00 P.M.,3:00 P.M.,Empire State Plaza Tour,Wednesday - Friday at 2 p.m. - Learn how government and culture are housed within the Plaza's Modern Architecture,Outside the Egg,FREE
09/22/2021,12:00 P.M.,12:45 P.M.,Tour the New York State Capitol,Monday through Friday at 10:00 a.m. and noon.,Information Desk in Capitol's State Street Lobby,FREE
09/22/2021,11:00 A.M.,2:00 P.M.,Empire State Plaza Food Trucks and Vendors,Enjoy your lunch outdoors on the beautiful Empire State Plaza!,Plaza Level,FREE
09/22/2021,10:00 A.M.,2:00 P.M.,Empire State Plaza Farmers Market,Wednesdays from 10 a.m. - 2 p.m.,Empire State Plaza North End,FREE
09/22/2021,10:00 A.M.,10:45 A.M.,Tour the New York State Capitol,Monday through Friday at 10:00 a.m. and noon.,Information Desk in Capitol's State Street Lobby,FREE
09/21/2021,12:00 P.M.,12:45 P.M.,Tour the New York State Capitol,Monday through Friday at 10:00 a.m. and noon.,Information Desk in Capitol's State Street Lobby,FREE
09/21/2021,11:00 A.M.,2:00 P.M.,Empire State Plaza Food Trucks and Vendors,Enjoy your lunch outdoors on the beautiful Empire State Plaza!,Plaza Level,FREE
09/21/2021,10:00 A.M.,10:45 A.M.,Tour the New York State Capitol,Monday through Friday at 10:00 a.m. and noon.,Information Desk in Capitol's State Street Lobby,FREE
09/20/2021,12:00 P.M.,12:45 P.M.,Tour the New York State Capitol,Monday through Friday at 10:00 a.m. and noon.,Information Desk in Capitol's State Street Lobby,FREE
09/20/2021,10:00 A.M.,10:45 A.M.,Tour the New York State Capitol,Monday through Friday at 10:00 a.m. and noon.,Information Desk in Capitol's State Street Lobby,FREE
09/17/2021,2:00 P.M.,3:00 P.M.,Empire State Plaza Tour,Wednesday - Friday at 2 p.m. - Learn how government and culture are housed within the Plaza's Modern Architecture,Outside the Egg,FREE
09/17/2021,12:00 P.M.,12:45 P.M.,Tour the New York State Capitol,Monday through Friday at 10:00 a.m. and noon.,Information Desk in Capitol's State Street Lobby,FREE
09/17/2021,10:00 A.M.,10:45 A.M.,Tour the New York State Capitol,Monday through Friday at 10:00 a.m. and noon.,Information Desk in Capitol's State Street Lobby,FREE
09/16/2021,12:00 P.M.,12:45 P.M.,Tour the New York State Capitol,Monday through Friday at 10:00 a.m. and noon.,Information Desk in Capitol's State Street Lobby,FREE
09/16/2021,11:00 A.M.,2:00 P.M.,Empire State Plaza Food Trucks and Vendors,Enjoy your lunch outdoors on the beautiful Empire State Plaza!,Plaza Level,FREE
09/16/2021,10:00 A.M.,10:45 A.M.,Tour the New York State Capitol,Monday through Friday at 10:00 a.m. and noon.,Information Desk in Capitol's State Street Lobby,FREE
09/15/2021,2:00 P.M.,3:00 P.M.,Empire State Plaza Tour,Wednesday - Friday at 2 p.m. - Learn how government and culture are housed within the Plaza's Modern Architecture,Outside the Egg,FREE
09/15/2021,12:00 P.M.,12:45 P.M.,Tour the New York State Capitol,Monday through Friday at 10:00 a.m. and noon.,Information Desk in Capitol's State Street Lobby,FREE
09/15/2021,11:00 A.M.,2:00 P.M.,Empire State Plaza Food Trucks and Vendors,Enjoy your lunch outdoors on the beautiful Empire State Plaza!,Plaza Level,FREE
09/15/2021,10:00 A.M.,2:00 P.M.,Empire State Plaza Farmers Market,Wednesdays from 10 a.m. - 2 p.m.,Empire State Plaza North End,FREE
04/05/2023,10:00 A.M.,2:00 P.M.,Farmers Market,Indoors on the South Concourse,Empire State Plaza,FREE
09/15/2021,10:00 A.M.,10:45 A.M.,Tour the New York State Capitol,Monday through Friday at 10:00 a.m. and noon.,Information Desk in Capitol's State Street Lobby,FREE
09/14/2021,12:00 P.M.,12:45 P.M.,Tour the New York State Capitol,Monday through Friday at 10:00 a.m. and noon.,Information Desk in Capitol's State Street Lobby,FREE
09/14/2021,11:00 A.M.,2:00 P.M.,Empire State Plaza Food Trucks and Vendors,Enjoy your lunch outdoors on the beautiful Empire State Plaza!,Plaza Level,FREE
09/14/2021,10:00 A.M.,10:45 A.M.,Tour the New York State Capitol,Monday through Friday at 10:00 a.m. and noon.,Information Desk in Capitol's State Street Lobby,FREE
09/13/2021,12:00 P.M.,12:45 P.M.,Tour the New York State Capitol,Monday through Friday at 10:00 a.m. and noon.,Information Desk in Capitol's State Street Lobby,FREE
09/13/2021,10:00 A.M.,10:45 A.M.,Tour the New York State Capitol,Monday through Friday at 10:00 a.m. and noon.,Information Desk in Capitol's State Street Lobby,FREE
09/10/2021,2:00 P.M.,3:00 P.M.,Empire State Plaza Tour,Wednesday - Friday at 2 p.m. - Learn how government and culture are housed within the Plaza's Modern Architecture,Outside the Egg,FREE
09/10/2021,12:00 P.M.,12:45 P.M.,Tour the New York State Capitol,Monday through Friday at 10:00 a.m. and noon.,Information Desk in Capitol's State Street Lobby,FREE
09/10/2021,10:00 A.M.,10:45 A.M.,Tour the New York State Capitol,Monday through Friday at 10:00 a.m. and noon.,Information Desk in Capitol's State Street Lobby,FREE
09/09/2021,12:00 P.M.,12:45 P.M.,Tour the New York State Capitol,Monday through Friday at 10:00 a.m. and noon.,Information Desk in Capitol's State Street Lobby,FREE
09/09/2021,11:00 A.M.,2:00 P.M.,Empire State Plaza Food Trucks and Vendors,Enjoy your lunch outdoors on the beautiful Empire State Plaza!,Plaza Level,FREE
09/09/2021,10:00 A.M.,10:45 A.M.,Tour the New York State Capitol,Monday through Friday at 10:00 a.m. and noon.,Information Desk in Capitol's State Street Lobby,FREE
09/08/2021,2:00 P.M.,3:00 P.M.,Empire State Plaza Tour,Wednesday - Friday at 2 p.m. - Learn how government and culture are housed within the Plaza's Modern Architecture,Outside the Egg,FREE
09/08/2021,12:00 P.M.,12:45 P.M.,Tour the New York State Capitol,Monday through Friday at 10:00 a.m. and noon.,Information Desk in Capitol's State Street Lobby,FREE
09/08/2021,11:00 A.M.,2:00 P.M.,Empire State Plaza Food Trucks and Vendors,Enjoy your lunch outdoors on the beautiful Empire State Plaza!,Plaza Level,FREE
09/08/2021,10:00 A.M.,2:00 P.M.,Empire State Plaza Farmers Market,Wednesdays from 10 a.m. - 2 p.m.,Empire State Plaza North End,FREE
09/08/2021,10:00 A.M.,10:45 A.M.,Tour the New York State Capitol,Monday through Friday at 10:00 a.m. and noon.,Information Desk in Capitol's State Street Lobby,FREE
09/07/2021,12:00 P.M.,12:45 P.M.,Tour the New York State Capitol,Monday through Friday at 10:00 a.m. and noon.,Information Desk in Capitol's State Street Lobby,FREE
09/07/2021,11:00 A.M.,2:00 P.M.,Empire State Plaza Food Trucks and Vendors,Enjoy your lunch outdoors on the beautiful Empire State Plaza!,Plaza Level,FREE
09/07/2021,10:00 A.M.,10:45 A.M.,Tour the New York State Capitol,Monday through Friday at 10:00 a.m. and noon.,Information Desk in Capitol's State Street Lobby,FREE
09/03/2021,2:00 P.M.,3:00 P.M.,Empire State Plaza Tour,Wednesday - Friday at 2 p.m. - Learn how government and culture are housed within the Plaza's Modern Architecture,Outside the Egg,FREE
09/03/2021,12:00 P.M.,12:45 P.M.,Tour the New York State Capitol,Monday through Friday at 10:00 a.m. and noon.,Information Desk in Capitol's State Street Lobby,FREE
09/03/2021,10:00 A.M.,10:45 A.M.,Tour the New York State Capitol,Monday through Friday at 10:00 a.m. and noon.,Information Desk in Capitol's State Street Lobby,FREE
09/02/2021,12:00 P.M.,12:45 P.M.,Tour the New York State Capitol,Monday through Friday at 10:00 a.m. and noon.,Information Desk in Capitol's State Street Lobby,FREE
09/02/2021,11:00 A.M.,2:00 P.M.,Empire State Plaza Food Trucks and Vendors,Enjoy your lunch outdoors on the beautiful Empire State Plaza!,Plaza Level,FREE
09/02/2021,10:00 A.M.,10:45 A.M.,Tour the New York State Capitol,Monday through Friday at 10:00 a.m. and noon.,Information Desk in Capitol's State Street Lobby,FREE
09/01/2021,5:30 P.M.,8:30 P.M.,Capital Concert Series featuring 518 Night,"Presented by SEFCU on Wednesday, September 1 from 5:30 - 8:30 p.m.",Empire State Plaza Convention Hall,FREE
09/01/2021,2:00 P.M.,3:00 P.M.,Empire State Plaza Tour,Wednesday - Friday at 2 p.m. - Learn how government and culture are housed within the Plaza's Modern Architecture,Outside the Egg,FREE
09/01/2021,12:00 P.M.,12:45 P.M.,Tour the New York State Capitol,Monday through Friday at 10:00 a.m. and noon.,Information Desk in Capitol's State Street Lobby,FREE
09/01/2021,11:00 A.M.,2:00 P.M.,Empire State Plaza Food Trucks and Vendors,Enjoy your lunch outdoors on the beautiful Empire State Plaza!,Plaza Level,FREE
09/01/2021,10:00 A.M.,2:00 P.M.,Empire State Plaza Farmers Market,Wednesdays from 10 a.m. - 2 p.m.,Empire State Plaza North End,FREE
09/01/2021,10:00 A.M.,10:45 A.M.,Tour the New York State Capitol,Monday through Friday at 10:00 a.m. and noon.,Information Desk in Capitol's State Street Lobby,FREE
08/31/2021,12:00 P.M.,12:45 P.M.,Tour the New York State Capitol,Monday through Friday at 10:00 a.m. and noon.,Information Desk in Capitol's State Street Lobby,FREE
08/31/2021,11:00 A.M.,2:00 P.M.,Empire State Plaza Food Trucks and Vendors,Enjoy your lunch outdoors on the beautiful Empire State Plaza!,Plaza Level,FREE
08/31/2021,10:00 A.M.,10:45 A.M.,Tour the New York State Capitol,Monday through Friday at 10:00 a.m. and noon.,Information Desk in Capitol's State Street Lobby,FREE
04/06/2023,11:00 A.M.,3:00 P.M.,Dr. King Career Fair,Empire State Plaza Convention Center,Empire State Plaza,FREE
